trilha,conteudo,objetivo,resultado
Fundamentos,01 - Git e GitHub,Dominar controle de versão e colaboração com Git e GitHub. Conceitos básicos de Git, comandos essenciais, trabalhando com GitHub, colaboração em equipe.,Capacidade de versionar código, trabalhar em equipe e usar GitHub para colaboração e publicação de projetos.
Fundamentos,02 - Deploy de Aplicações de Dados,Aprender a fazer deploy de aplicações de dados usando Docker. Introdução ao Docker, containerização de aplicações, Docker Compose, deploy em cloud (Heroku AWS etc).,Capacidade de containerizar aplicações de dados e fazer deploy em ambientes cloud usando Docker e Docker Compose.
Fundamentos,03 - Linux e WSL,Configurar ambiente Linux no Windows usando WSL. Instalação e configuração do WSL, comandos Linux essenciais, configuração de ambiente de desenvolvimento.,Ambiente Linux funcional no Windows, conhecimento de comandos essenciais e capacidade de configurar ferramentas de desenvolvimento.
Projetos Práticos,01 - Data Project Foundations,Aprender a estruturar projetos de dados profissionais com boas práticas testes documentação e CI/CD. ETL pipelines estruturação de projetos pytest mkdocs Poetry Git/GitHub.,Projeto de dados profissionalmente estruturado com testes automatizados documentação e automação de tarefas. Capacidade de criar projetos escaláveis e manuteníveis.
Projetos Práticos,02 - Python Big Data Processing,Processar eficientemente 1 bilhão de linhas de dados comparando diferentes abordagens (Python puro Pandas Dask Polars DuckDB). Big Data processamento em memória otimização de performance streaming de dados.,Capacidade de escolher a ferramenta certa para processar grandes volumes de dados. Entendimento de performance e otimização para Big Data.
Projetos Práticos,03 - CRUD API Data Application,Construir uma aplicação completa com backend (FastAPI) frontend (Streamlit) e banco de dados (PostgreSQL). APIs REST ORM (SQLAlchemy) CRUD operations Docker arquitetura de aplicações.,Aplicação completa de dados funcional com API REST frontend interativo e banco de dados. Capacidade de construir aplicações full-stack de dados.
Projetos Práticos,04 - Data Quality Engineering,Implementar pipelines de qualidade de dados com validação de schemas contratos de dados e tratamento de erros. Data Quality Schema validation Data contracts Data profiling.,Pipeline ETL com garantia de qualidade de dados. Capacidade de validar dados em cada etapa e garantir confiabilidade.
Projetos Práticos,05 - SQL Advanced Analytics,Realizar análises avançadas de dados usando SQL com o banco de dados Northwind. SQL avançado Window Functions CTEs Views Stored Procedures análise de receitas segmentação de clientes.,Capacidade de realizar análises complexas com SQL criar relatórios avançados e modelar dados para analytics.
Projetos Práticos,06 - Web Scraping NoSQL Pipelines,Construir pipelines de web scraping com armazenamento em bancos NoSQL (Redis e MongoDB). Web Scraping NoSQL databases Caching Message queues.,Pipeline completo de web scraping com armazenamento em bancos NoSQL. Capacidade de extrair dados de websites e armazenar de forma escalável.
Projetos Práticos,07 - PDF Data Extraction,Extrair dados de arquivos PDF armazenados no S3 usando triggers do SQS. Extração de dados não-estruturados Cloud services (AWS) Event-driven architecture.,Pipeline automatizado de extração de dados de PDFs com processamento baseado em eventos. Capacidade de trabalhar com dados não-estruturados e arquitetura event-driven.
